epoch,train_onset_bce,train_frame_bce,train_total,val_onset_bce,val_frame_bce,val_total,val_onset_f1_weighted,val_frame_f1_weighted,lr
1.0,1.0271753907203673,1.0166748921076456,2.0438502470652264,0.9902009129524231,0.9789627671241761,1.969163680076599,0.12872672638370222,0.19213077365582548,0.0003
2.0,0.9546483397483826,0.9384206414222718,1.8930689811706543,0.9745058417320251,0.9539584755897522,1.9284642934799194,0.15311416148487056,0.1806522574366421,0.0003
3.0,0.882822839419047,0.8911914825439453,1.7740143140157063,0.9487385869026184,0.9370397448539733,1.8857783794403076,0.187677718339122,0.22250793316167503,0.0003
4.0,0.8619144320487976,0.8717179139455159,1.7336323420206705,0.9432266235351563,0.9312469601631165,1.8744736433029174,0.23177020010355584,0.2698155371035204,0.0003
5.0,0.824741005897522,0.8295571168263753,1.6542981147766114,0.9400962471961976,0.92516930103302,1.8652655363082886,0.24032730231514746,0.25362219206249603,0.0003
6.0,0.821808389822642,0.8254921992619833,1.6473006010055542,0.9204575300216675,0.8900910139083862,1.8105485677719115,0.35533831719483444,0.3977964467682891,0.0001
7.0,0.7253086765607198,0.7026915748914083,1.428000259399414,0.8873777031898499,0.8586061596870422,1.7459838390350342,0.42705446768619915,0.3746689340657563,0.0001
8.0,0.6360602895418803,0.625422724088033,1.2614829937616985,0.8450139284133911,0.8154619812965394,1.6604759216308593,0.43619047053692744,0.42709456670229495,0.0001
9.0,0.5632242997487386,0.5508410811424256,1.114065376917521,0.815546989440918,0.7909294724464416,1.6064764976501464,0.4788838878852376,0.46715367385030065,0.0001
10.0,0.4962537050247192,0.4851954718430837,0.9814491828282674,0.8248138546943664,0.7982851147651673,1.6230990171432496,0.4740476131076049,0.46839168420715727,0.0001
11.0,0.44203227361043296,0.45048350691795347,0.8925157785415649,0.7933247566223145,0.7714439511299134,1.5647687435150146,0.47324175225423637,0.473956037864939,0.0001
12.0,0.40429582794507346,0.37967681090037025,0.7839726448059082,0.8105968117713929,0.8122777819633484,1.6228746175765991,0.45330086037151895,0.4559126928337291,0.0001
13.0,0.3671614428361257,0.35953516364097593,0.7266966025034587,0.7876833200454711,0.7655602931976319,1.553243637084961,0.4811854747496226,0.49273808901197425,0.0001
14.0,0.31906291445096335,0.32544261813163755,0.6445055325826009,0.783003032207489,0.7731971621513367,1.5562001943588257,0.4856024467743027,0.4942099504624671,0.0001
15.0,0.2907909154891968,0.2825680951277415,0.5733590106169383,0.8430290699005127,0.8097215712070465,1.6527506351470946,0.4737973077744061,0.4686369945886606,0.0001
16.0,0.2609623203674952,0.25159035325050355,0.512552672624588,0.8176979422569275,0.7999798059463501,1.6176777124404906,0.4693131808774914,0.5010838135826071,0.0001
17.0,0.22542491257190705,0.2210814694563548,0.44650638500849404,0.8357566297054291,0.8257010817527771,1.6614577054977417,0.4705555497218057,0.4808730097688269,5e-05
18.0,0.20480996767679852,0.202439084649086,0.40724905331929523,0.8637092709541321,0.83952556848526,1.703234887123108,0.47484126389793935,0.5015512202463093,5e-05
