run,seed,fold,best_epoch,best_val_total,test_total,test_onset_f1_weighted,test_frame_f1_weighted,test_onset_pr_auc_macro,test_frame_pr_auc_macro
seed_42_fold_1,42,1,1,1.975678,2.003378,0.052878,0.016951,0.068129,0.062461
seed_42_fold_2,42,2,1,1.964181,2.016261,0.017872,0.011312,0.080528,0.079215
