epoch,train_onset_bce,train_frame_bce,train_total,val_onset_bce,val_frame_bce,val_total,val_onset_f1_weighted,val_frame_f1_weighted,lr
1.0,0.45411844154198966,0.45907868146896363,0.913197135925293,0.2614888668060303,0.2924725592136383,0.5539614200592041,0.08507910990104205,0.10375999901807596,0.0003
2.0,0.15460985650618872,0.1625651826461156,0.317175038655599,0.13096811920404433,0.13185575604438782,0.2628238797187805,0.017094016861713784,0.027662721563707613,0.0003
3.0,0.1294173205892245,0.12926558603843052,0.25868290464083354,0.13292985707521437,0.1302821233868599,0.2632119804620743,0.0,0.0,0.0003
4.0,0.12681888540585837,0.12635483990112942,0.2531737248102824,0.13142768889665604,0.12979091703891754,0.26121860444545747,0.0,0.0,0.0003
5.0,0.12537673711776734,0.12630744477113087,0.25168418486913047,0.12922169864177704,0.1275946632027626,0.2568163573741913,0.0,0.0,0.0003
6.0,0.11825987845659255,0.11874470015366873,0.2370045801003774,0.12166021764278412,0.1220521941781044,0.2437124103307724,0.0,0.0,0.0001
7.0,0.11166332910458247,0.11564453293879827,0.22730786303679149,0.12098713219165802,0.11862355023622513,0.2396106779575348,0.0,0.0,0.0001
8.0,0.10438395092884699,0.10647673259178797,0.21086068352063497,0.11777394264936447,0.11590074598789216,0.23367468714714051,0.0,0.0,0.0001
9.0,0.10028867026170095,0.10255228132009506,0.20284095108509065,0.11674394607543945,0.1148611694574356,0.23160511553287505,0.0,0.0,0.0001
10.0,0.09171248177687327,0.09325886865456899,0.18497135043144225,0.11603643596172333,0.11329638361930847,0.22933282256126403,0.0,0.0,0.0001
11.0,0.08505072742700577,0.08813512374957402,0.1731858491897583,0.11389087438583374,0.11186354756355285,0.2257544219493866,0.0,0.0,0.0001
12.0,0.08080339481433232,0.08103185693422953,0.16183525224526724,0.11199116706848145,0.11095531880855561,0.22294648587703705,0.0,0.02564102524983564,0.0001
13.0,0.07508297314246495,0.0761266067624092,0.1512095828851064,0.11278634816408158,0.1104374572634697,0.22322380542755127,0.05128205049967128,0.11111110947293448,0.0001
14.0,0.06857013727227847,0.07105519970258077,0.13962533672650654,0.11168067455291748,0.11050027459859849,0.22218095064163207,0.0871794858802104,0.10256410099934256,0.0001
15.0,0.0622891587515672,0.0626447357237339,0.12493389397859574,0.11256409883499145,0.11139921993017196,0.2239633172750473,0.06837606736138506,0.1068376052681898,0.0001
16.0,0.05529719317952792,0.05831128060817718,0.11360847602287928,0.11225192546844483,0.11068566590547561,0.2229375958442688,0.10256410106344513,0.11111110947293448,0.0001
17.0,0.05443142130970955,0.05395625357826551,0.10838767439126969,0.11450577229261398,0.11267101913690566,0.22717679142951966,0.05128205049967128,0.09145299014905765,0.0001
18.0,0.04746684754888217,0.04752557451526324,0.09499242156744003,0.1145447924733162,0.11296956241130829,0.22751435935497283,0.0786324775561911,0.05555555476851852,5e-05
19.0,0.04159463892380397,0.042992901802062986,0.08458754122257232,0.11475232690572738,0.11356415003538131,0.22831647992134094,0.09401709267532327,0.08974358846345606,5e-05
