epoch,train_onset_bce,train_frame_bce,train_total,val_onset_bce,val_frame_bce,val_total,val_onset_f1_weighted,val_frame_f1_weighted,lr
1.0,1.0184579610824585,1.009855608145396,2.0283135811487836,0.9800347313284874,0.9775766879320145,1.9576114416122437,0.0915683007742707,0.08668464887538352,0.0003
2.0,0.92461971839269,0.9165594895680745,1.8411792119344075,0.9700246825814247,0.9576612263917923,1.9276859164237976,0.10216404241295557,0.10312514408776949,0.0003
3.0,0.8867515405019124,0.8932133555412293,1.7799648841222127,0.9568158835172653,0.9555856809020042,1.9124015420675278,0.13466813741763467,0.13335635929393988,0.0003
4.0,0.8590524355570476,0.8607993960380554,1.71985182762146,0.9538783729076385,0.9437690079212189,1.8976473808288574,0.12825860943163475,0.13375987224962926,0.0003
5.0,0.8207873543103535,0.811035958925883,1.6318233013153076,0.9333714917302132,0.9298224374651909,1.8631939440965652,0.1511421631279029,0.133833887449063,0.0003
6.0,0.8135234673817953,0.8180239876111348,1.631547458966573,0.9030854925513268,0.9073423519730568,1.8104277998209,0.2802319516700828,0.23639065039037435,0.0001
7.0,0.6988556186358134,0.7013221939404806,1.4001778046290079,0.8699236437678337,0.8502133637666702,1.7201370000839233,0.30694271541915397,0.29591071820008336,0.0001
8.0,0.6105098366737366,0.6077552358309428,1.2182650804519652,0.8068893924355507,0.7980672642588615,1.6049566715955734,0.3895465907381407,0.38905805371113633,0.0001
9.0,0.5592384000619253,0.5483168204625447,1.1075552225112915,0.7642691135406494,0.7595168426632881,1.5237859636545181,0.458448252154505,0.42419866493189196,0.0001
10.0,0.5028141558170318,0.4891373336315155,0.9919514973958333,0.7615469843149185,0.733051061630249,1.4945980310440063,0.4525945503698449,0.42997393622700186,0.0001
11.0,0.44629819790522257,0.4417318065961202,0.8880300164222718,0.7347524538636208,0.7243427485227585,1.4590951949357986,0.4375044183861442,0.4355501354594595,0.0001
12.0,0.3952572762966156,0.39385576645533243,0.7891130367914836,0.7371961399912834,0.7136416211724281,1.4508377462625504,0.46340777852448306,0.46108852837525804,0.0001
13.0,0.34368543028831483,0.3501949747403463,0.6938804070154826,0.7113716378808022,0.7054916396737099,1.4168633073568344,0.48914880418480317,0.44869824464751373,0.0001
14.0,0.32379244367281595,0.31391770839691163,0.6377101500829061,0.7185385152697563,0.7033516690135002,1.4218901842832565,0.4614601934687512,0.4797383249468694,0.0001
15.0,0.28490169445673624,0.2762370636065801,0.5611387570699056,0.7193956151604652,0.718541108071804,1.4379367232322693,0.4751128276729759,0.4787891898277603,0.0001
16.0,0.2929197072982788,0.29384427070617675,0.5867639819780985,0.7099291868507862,0.7124947234988213,1.4224239140748978,0.4987041277627895,0.47454134852457996,0.0001
17.0,0.2351026306549708,0.23911387324333191,0.47421650489171346,0.7326978519558907,0.7138739675283432,1.4465718120336533,0.48786256695043684,0.4784808969614798,5e-05
18.0,0.24452393054962157,0.23897580405076344,0.48349973758061726,0.7077063098549843,0.6979649737477303,1.4056712687015533,0.4942050652848181,0.48308201556373176,5e-05
19.0,0.18788238763809204,0.19550499320030212,0.38338738481203716,0.6931726485490799,0.6782666146755219,1.3714392632246017,0.5012761165934324,0.5139173645472286,5e-05
20.0,0.20791678329308827,0.20012043913205466,0.4080372234185537,0.7477767392992973,0.7278408259153366,1.4756175726652145,0.4954303147338408,0.4987026486176825,5e-05
